restaurant_id,name,country,city,cuisine,latitude,longitude
44,Quattordicesimo Piano - Il Fungo,Italy,Rome,regional,41.824385,12.463029
45,Pizzeria Er Panonto,Italy,Rome,pizza,41.862311,12.485038
46,Otium,Italy,Rome,regional;cocktails,41.862935,12.489956
47,Panorama 2001,Italy,Rome,pizza,41.846643,12.411141
48,La Fiorentina,Italy,Rome,italian,41.91009,12.452793
49,L'Orange - Restaurant Wine Bar,Italy,Rome,italian,41.880724,12.46665
50,Natalino e Maurizio,Italy,Rome,,41.941838,12.470478
51,L'Ortica,Italy,Rome,,41.941947,12.471551
52,l'Acquolina,Italy,Rome,,41.942461,12.473972
53,La gioia,Italy,Rome,chinese,41.947803,12.550592
54,O' Sole Mio,Italy,Rome,,41.733203,12.289358
55,Antica Trattoria Tritone,Italy,Rome,italian,41.902403,12.485449
56,L'Archetto,Italy,Rome,italian,41.934703,12.420232
57,Osteria dell'Angelo,Italy,Rome,Romana,41.911647,12.456474
58,L'insalatiera,Italy,Rome,,41.912902,12.452341
59,Mr.Zhao,Italy,Rome,chinese,41.911855,12.449925
60,Hamerica's,Italy,Rome,american,41.908573,12.455124
61,B.Ro Beef Bar,Italy,Rome,burger,41.927077,12.485911
62,Molto,Italy,Rome,,41.927639,12.486592
63,Caminetto,Italy,Rome,,41.928176,12.486162
64,La Pariolina,Italy,Rome,,41.928627,12.486022
65,Ercoli 1928,Italy,Rome,italian,41.929174,12.486144
66,da Dino,Italy,Rome,regional;italian,41.903974,12.503104
67,Hard Rock Cafe,Italy,Rome,american,41.906447,12.490003
68,Dal Bolognese,Italy,Rome,regional,41.909937,12.476093
69,New Town,Italy,Rome,chinese,41.906031,12.447796
70,Tiberino,Italy,Rome,,41.890695,12.477909
71,La tana dei ricci,Italy,Rome,,41.79083,12.453423
72,"Pane ar pane, vino ar vino",Italy,Rome,,41.776025,12.374382
73,La Fontanella Borghese,Italy,Rome,,41.903563,12.476709
74,Marcantonio,Italy,Rome,italian,41.903877,12.45999
75,,Italy,Rome,italian,41.910637,12.537602
76,La Villetta,Italy,Rome,,41.927694,12.410838
77,I Tre Fratelli,Italy,Rome,pizza,41.86231,12.489937
78,,Italy,Rome,,41.898131,12.426188
79,,Italy,Rome,,41.937563,12.427721
80,La Pimpaccia,Italy,Rome,regional,41.879381,12.450784
81,La Piazzetta,Italy,Rome,pizza;ice_cream,41.912032,12.449537
82,Old Wild West,Italy,Rome,american,41.729814,12.276855
83,Il bar sotto al mare,Italy,Rome,italian,41.908631,12.452206
84,Pizza Roma,Italy,Rome,pizza,41.817553,12.490443
85,Girasole,Italy,Rome,regional,41.814995,12.49143
86,Tazio Restaurant,Italy,Rome,,41.901956,12.496194
87,The Burger Factory Roma,Italy,Rome,,41.875575,12.468536
88,Aurora,Italy,Rome,italian,41.908056,12.487224
89,La Francescana,Italy,Rome,italian,41.963375,12.447094
90,Menù Fisso,Italy,Rome,,41.972907,12.439615
91,Sport Cafè,Italy,Rome,,41.97318,12.429714
92,Kabab,Italy,Rome,persian,41.971294,12.436696
93,Il Casale Bicocca,Italy,Rome,pizza,41.798817,12.526501
94,Doveralu,Italy,Rome,,41.900387,12.492498
95,Osteria Margutta,Italy,Rome,italian,41.908066,12.480085
96,Il Margutta veggy food & art,Italy,Rome,,41.909509,12.478304
97,Taverna Parione,Italy,Rome,italian,41.898758,12.470766
98,Il Tempio di Apollo,Italy,Rome,regional,42.019184,12.393122
99,Derione,Italy,Rome,,41.730053,12.27722
100,,Italy,Rome,regional,41.732005,12.268978
101,Sushi Jiro,Italy,Rome,sushi,41.851078,12.493706
102,C'era una volta,Italy,Rome,,41.872365,12.458422
103,Il Chiodo Fisso,Italy,Rome,,41.921151,12.439336
104,Oscar,Italy,Rome,pizza;italian,41.910446,12.445037
105,Grazia Deledda,Italy,Rome,,41.931888,12.527162
106,Palazzo Due,Italy,Rome,,41.932032,12.525831
107,Mò Mò Republic,Italy,Rome,italian,41.867235,12.450427
108,Cuccurucù,Italy,Rome,italian,41.925202,12.459137
109,Osteria del Gallo,Italy,Rome,italian,41.899679,12.471099
110,Trattoria Da Lucia,Italy,Rome,italian,41.890381,12.467634
111,Strega,Italy,Rome,italian,41.899386,12.494526
112,Washington,Italy,Rome,pizza;burger;italian;regional,41.900804,12.496868
113,Dim Sum,Italy,Rome,chinese,41.909653,12.456985
114,La Pace del Cervello,Italy,Rome,,41.889486,12.494593
115,Zen Garden 2,Italy,Rome,asian,41.863159,12.478289
116,Da Danilo,Italy,Rome,,41.892046,12.50532
117,Galilei,Italy,Rome,,41.890421,12.503419
118,Al Cavallino Bianco,Italy,Rome,,41.892709,12.50531
119,Pizzeria Romana da Giovanni,Italy,Rome,pizza;regional,41.867554,12.493322
120,Osteria29,Italy,Rome,regional;italian;pizza,41.788349,12.394424
121,Osteria Palmira,Italy,Rome,,41.878304,12.453467
122,L'insalata ricca,Italy,Rome,regional;italian_pizza,41.906571,12.456547
123,Lo Scalino,Italy,Rome,italian,41.934304,12.420163
124,C'era una volta,Italy,Rome,pizza,41.877332,12.521971
125,Ristorante Orientale Wok - Okura,Italy,Rome,,41.820107,12.618855
126,Il Miraggio,Italy,Rome,italian;pasta;pizza,41.899143,12.481502
127,l'Orso 80,Italy,Rome,italian,41.901854,12.473622
128,Osteria all'alberone,Italy,Rome,roman,41.875706,12.520036
129,Mi Noodles,Italy,Rome,chinese;noodles,41.876275,12.519342
130,Il ponte della ranocchia,Italy,Rome,,41.876224,12.518315
131,Da Cocco,Italy,Rome,pizza,41.876173,12.517013
132,Wang Xian Lou,Italy,Rome,chinese,41.901106,12.496989
133,Il casale di Giulia,Italy,Rome,,41.701779,12.436428
134,Pizzeria Dal Bersagliere,Italy,Rome,pizza,41.875737,12.520886
135,Chizuru,Italy,Rome,japanese,41.876691,12.520962
136,Reinbo,Italy,Rome,japanese,41.878101,12.523622
137,Il Torchio Sardo,Italy,Rome,regional,41.877643,12.522346
138,da Riccardo,Italy,Rome,regional;italian,41.837374,12.511726
139,L'isola,Italy,Rome,italian,41.881269,12.528899
140,Old Wild West,Italy,Rome,steak_house,41.834635,12.471917
141,Antica Posta,Italy,Rome,,41.842734,12.468353
142,Trattoria Fauro,Italy,Rome,,41.92717,12.488316
143,Ciccia & Bomba Ai Parioli S.R.L.,Italy,Rome,,41.925906,12.489421
144,Trattoria Pizzeria La Caravella,Italy,Rome,italian,41.9081,12.456665
145,Roadhouse,Italy,Rome,steak_house,41.901733,12.50288
146,Ni Hao,Italy,Rome,chinese;japanese,41.907008,12.456842
147,Okasan,Italy,Rome,japanese,41.909428,12.454234
148,Mikaku,Italy,Rome,chinese,41.874922,12.523611
149,Sakura Ramen,Italy,Rome,japanese,41.875064,12.523099
150,FiloDiLatte,Italy,Rome,,41.875432,12.523645
151,La zingarella,Italy,Rome,italian,41.874142,12.51919
152,Grazia & Graziella,Italy,Rome,italian,41.874374,12.518743
153,Checco dello Scapicollo,Italy,Rome,regional;italian,41.817628,12.483885
154,La Pace,Italy,Rome,chinese,41.894421,12.490561
155,Le Bistrot,Italy,Rome,,41.860031,12.493848
156,Osteria der Belli,Italy,Rome,italian,41.889869,12.470797
157,Xin Du,Italy,Rome,chinese,41.92033,12.519258
158,Città del Drago,Italy,Rome,chinese,41.872832,12.520772
159,The View,Italy,Rome,italian,41.92133,12.448096
160,Officina Alimentare San Paolo,Italy,Rome,,41.853538,12.480568
161,Antica Trattoria Angelino,Italy,Rome,,41.894106,12.479931
162,Trattoria Pigneto,Italy,Rome,regional,41.888655,12.52691
163,Er Mattatoio,Italy,Rome,burger,41.733112,12.270656
164,Old Bear,Italy,Rome,italian,41.901673,12.47327
165,Lo Zozzone,Italy,Rome,,41.898685,12.471604
166,Mada Fish,Italy,Rome,italian,41.836088,12.587357
167,Bin Hai,Italy,Rome,chinese,41.88691,12.520048
168,Il peperoncino dispettoso,Italy,Rome,italian,41.915253,12.443029
169,Il Grottino,Italy,Rome,,41.886233,12.517137
170,Happy Hours,Italy,Rome,pizza,41.922075,12.41143
171,,Italy,Rome,italian,41.887088,12.522757
172,Ristorante Da Giuliana,Italy,Rome,italian,41.907993,12.456069
173,Prelibato - cucina in piazza,Italy,Rome,seafood,41.8608,12.491699
174,Est Est Est!,Italy,Rome,pizza,41.898947,12.492639
175,Da Candido,Italy,Rome,italian,41.921955,12.4585
176,L'Insalata Ricca,Italy,Rome,italian,41.888351,12.474441
177,L'angolo del Gusto,Italy,Rome,pizza,41.910902,12.653026
178,Gli Antenati,Italy,Rome,,41.909111,12.654785
179,Da Baffo,Italy,Rome,regional;pizza,41.852134,12.503538
180,Pizzeria Gino e Salvatore,Italy,Rome,pizza,41.846458,12.488103
181,Hostaria Isidoro Al Colosseo,Italy,Rome,,41.888838,12.498653
182,Da Bucatino,Italy,Rome,italian;italian_pizza,41.880339,12.476859
183,Angelino ai Fori,Italy,Rome,pizza;italian;regional,41.893017,12.488041
184,Pizzeria Imperiale,Italy,Rome,pizza,41.893126,12.488237
185,Ombre Rosse,Italy,Rome,,41.889899,12.469222
186,Ippokrates,Italy,Rome,greek,41.909011,12.498371
187,Il Podista,Italy,Rome,pizza,41.899507,12.516798
188,Al giardino del gatto e la volpe,Italy,Rome,italian,41.911869,12.45397
189,Pizzeria Caselli,Italy,Rome,italian,41.912722,12.442022
190,I Quattro Mori,Italy,Rome,italian,41.898116,12.455897
191,Tuttifrutti,Italy,Rome,,41.878597,12.478276
192,Felice a Testaccio,Italy,Rome,italian,41.878501,12.477466
193,il Condottiero,Italy,Rome,italian,41.946958,12.588188
194,Janta Fast Food,Italy,Rome,indian,41.895614,12.504628
195,,Italy,Rome,,41.856936,12.451451
196,,Italy,Rome,,41.856287,12.452095
197,,Italy,Rome,,41.856464,12.453322
198,BioOsteria,Italy,Rome,italian/organic,41.944016,12.565271
199,Zen fusion,Italy,Rome,japanese,41.926706,12.515598
200,L'hostaria,Italy,Rome,italian_pizza,41.930865,12.520865
201,,Italy,Rome,,41.927813,12.52258
202,,Italy,Rome,,41.926863,12.516692
203,,Italy,Rome,,41.928435,12.521746
204,,Italy,Rome,,41.930631,12.519747
205,Taverna Abruzzese,Italy,Rome,,41.930134,12.521826
206,Pizzeria San Marino,Italy,Rome,italian_pizza,41.923478,12.513438
207,Antica Hostaria dei Ghiottoni,Italy,Rome,regional,41.982476,12.512983
208,Tanto pe'...Magnà,Italy,Rome,regional,41.8613,12.491202
209,li scalini de Marisa,Italy,Rome,regional,41.864473,12.491241
210,,Italy,Rome,italian;pizza,41.944465,12.577447
211,,Italy,Rome,italian;pizza,41.944479,12.577413
212,Mario al Tesoro,Italy,Rome,,41.944218,12.560395
213,Da Giggetto,Italy,Rome,regional,41.892659,12.478369
214,Pulcino pio,Italy,Rome,italian;pizza,41.938963,12.578
215,Qui se Magna,Italy,Rome,regional,41.88597,12.537947
216,Al Vino al Vino,Italy,Rome,regional,41.895516,12.490369
217,Taverna Romana,Italy,Rome,regional,41.894097,12.489451
218,Enoteca Cavour 313,Italy,Rome,regional,41.89372,12.489126
219,,Italy,Rome,chinese,41.763017,12.360184
220,Cocomerino,Italy,Rome,pizza;italian,41.941839,12.435215
221,La Rocca Già,Italy,Rome,italian;pizza;regional,41.955995,12.382755
222,Re Grano,Italy,Rome,pizza,41.790499,12.417053
223,Arturo all'Antica Aurelia,Italy,Rome,italian,41.889848,12.425623
224,Osteria Pontesisto di Oliviero,Italy,Rome,italian,41.891979,12.469533
225,Taverna Antonina,Italy,Rome,italian,41.900347,12.478937
226,Osteria Corsetti 1921,Italy,Rome,italian,41.887164,12.469104
227,L'archetto II,Italy,Rome,italian,41.887604,12.468805
228,Gran Caffe Martini & Rossi,Italy,Rome,italian,41.889713,12.494165
229,Al Gladiatore,Italy,Rome,italian,41.889446,12.494046
230,Royal art café,Italy,Rome,italian,41.889955,12.49427
231,Ristorante 4 Colonne,Italy,Rome,italian,41.897458,12.473566
232,,Italy,Rome,,41.898198,12.475743
233,Pani's,Italy,Rome,italian,41.846487,12.47851
234,Al postaccio,Italy,Rome,pizza,41.788706,12.514806
235,,Italy,Rome,,41.788453,12.519431
236,,Italy,Rome,,41.795166,12.534579
237,Ai Due Cedri,Italy,Rome,,41.794362,12.535035
238,Ristorante Pizzeria Dea di Roma,Italy,Rome,italian;pizza,41.821945,12.519223
239,,Italy,Rome,,41.826659,12.518448
240,,Italy,Rome,,41.826709,12.527356
241,,Italy,Rome,japanese,41.920048,12.52593
242,Renato e Luisa,Italy,Rome,italian,41.895219,12.475734
243,El dorado,Italy,Rome,pizza,41.963121,12.532839
244,Quelli… di Salvatore,Italy,Rome,steak_house;pizza,41.96072,12.536803
245,L'Angolo Romano,Italy,Rome,,41.882342,12.565103
246,Carpe Diem,Italy,Rome,pizza,41.953557,12.544662
247,Zio d'America,Italy,Rome,,41.943689,12.54827
248,Bottega35,Italy,Rome,pizza,42.009833,12.376479
249,Qui nun se more mai,Italy,Rome,regional,41.85003,12.522856
250,Da Gino,Italy,Rome,regional,41.902246,12.477393
251,Ristorante Messicano,Italy,Rome,mexican,41.89773,12.474182
252,La Torricella 2,Italy,Rome,pizza;regional;italian;italian_pizza,41.867007,12.487905
253,Lunadue,Italy,Rome,,41.841595,12.551288
254,Micci,Italy,Rome,italian;pizza,41.909402,12.451471
255,La fonte del tramezzino,Italy,Rome,italian,41.873172,12.52104
256,,Italy,Rome,,41.937882,12.441189
257,,Italy,Rome,,41.934428,12.439919
258,L'Idillio,Italy,Rome,regional,41.88487,12.534983
259,Feida,Italy,Rome,chinese,41.908542,12.456678
260,Dino e Toni,Italy,Rome,italian,41.90981,12.45485
261,Asian Delight,Italy,Rome,asian;filipino;chinese,41.905525,12.500239
262,Le Papere,Italy,Rome,,41.934281,12.583631
263,dal pallarolo 1936,Italy,Rome,italian;italian_pizza,41.909423,12.476269
264,La taverna del ghetto,Italy,Rome,italian,41.892944,12.477688
265,Nonna Betta,Italy,Rome,jewish;italian,41.892754,12.478118
266,La Santeria,Italy,Rome,fish,41.888161,12.530119
267,Hostaria Mimì e Cocò,Italy,Rome,italian,41.890312,12.524814
268,Il Fiorentino,Italy,Rome,italian,41.888974,12.526158
269,Pizzeria al Pigneto,Italy,Rome,italian,41.888382,12.529172
270,Sant'Alberto,Italy,Rome,italian;pizza,41.888856,12.525896
271,,Italy,Rome,ethiopian,41.888106,12.524959
272,Da Natalino,Italy,Rome,italian,41.790942,12.438058
273,Sora Pia,Italy,Rome,italian,41.898665,12.427905
274,Masandro,Italy,Rome,pizza;regional,41.880223,12.472996
275,Ciak si Mangia!,Italy,Rome,italian,41.889317,12.530955
276,Da Dante - Trattoria,Italy,Rome,italian,41.917497,12.460633
277,Allo sbarco di Enea,Italy,Rome,,41.75826,12.299844
278,Il monumento,Italy,Rome,italian,41.760044,12.30216
279,Arianna al Borghetto,Italy,Rome,regional,41.75982,12.301827
280,Pizzeria Piero,Italy,Rome,pizza,41.785877,12.330761
281,Lo zio Frankie,Italy,Rome,,41.903669,12.425718
282,Il facocchio,Italy,Rome,italian;pizza,42.002611,12.382909
283,Dal Zabà,Italy,Rome,,42.001962,12.384337
284,Panizzeri,Italy,Rome,,41.967597,12.536644
285,Spacca Napoli,Italy,Rome,pizza,41.874526,12.524797
286,Zi Umberto,Italy,Rome,italian,41.89207,12.468918
287,Nuova Città,Italy,Rome,chinese,41.87593,12.52507
288,Capperi!,Italy,Rome,italian,41.919749,12.435717
289,Jinjà,Italy,Rome,chinese;japanese,41.912586,12.449834
290,Casale del Fiscale,Italy,Rome,regional,41.859238,12.544868
291,,Italy,Rome,pizza,41.775904,12.33546
292,Trattoriola - Bioristoro,Italy,Rome,italian,41.930976,12.553665
293,La Veranda,Italy,Rome,italian,41.876763,12.519285
294,I Cavalieri,Italy,Rome,steak_house;italian;italian_pizza;pizza;fish;pasta,41.979899,12.517425
295,Ristorante Piperno,Italy,Rome,jewish;italian,41.892322,12.476086
296,Ba' Ghetto Milky,Italy,Rome,jewish;italian,41.893147,12.477071
297,Ba'Ghetto,Italy,Rome,jewish-italian,41.892669,12.477782
298,San Marco,Italy,Rome,,41.907609,12.466969
299,Da Enzo,Italy,Rome,italian,41.888086,12.477807
300,L'Osteria Del Mare Da Masticabrodo,Italy,Rome,italian,41.939236,12.578292
301,The Village Terrazza,France,Paris,pizza,48.829835,2.322866
302,Le Severo,France,Paris,french,48.831991,2.324533
303,Uno,France,Paris,italian;pizza,48.861849,2.3435
304,La Crypte Polska,France,Paris,,48.867292,2.325551
305,Mystery Cuisine,France,Paris,,48.865893,2.337257
306,Chez Denise,France,Paris,french,48.861524,2.344089
307,La Robe et le Palais,France,Paris,bistro;french,48.858644,2.34585
308,Macéo,France,Paris,,48.866404,2.33806
309,Le Petit Marché,France,Paris,french,48.857289,2.36605
310,Café des Musées,France,Paris,french,48.858071,2.364331
311,Camille,France,Paris,french,48.857777,2.360727
312,Les Enfants Rouges,France,Paris,,48.86303,2.361253
313,404,France,Paris,moroccan,48.864464,2.354305
314,Onhà Dô,France,Paris,vietnamese,48.848377,2.373969
315,Lémoni Café,France,Paris,,48.864797,2.341178
316,Rani Mahal,France,Paris,indian,48.868799,2.337327
317,O' Scià,France,Paris,pizza;italian,48.864878,2.347521
318,Café Moderne,France,Paris,french,48.868904,2.342206
319,Manteigaria - Fábrica de Pastéis de Nata Rambuteau,France,Paris,portuguese;cake,48.860997,2.354435
320,La Perla,France,Paris,mexican,48.855759,2.35614
321,L'Excuse,France,Paris,,48.853388,2.362008
322,Pizzou,France,Paris,pizza,48.857608,2.356259
323,Chez Marianne,France,Paris,lebanese,48.857731,2.358636
324,Chouette,France,Paris,,48.85559,2.362825
325,Le Lutétia Île Saint-Louis,France,Paris,,48.853299,2.354095
326,Au Petit Fer à Cheval,France,Paris,regional,48.857435,2.357611
327,Jardin des Pâtes,France,Paris,pasta;italian,48.843744,2.354486
328,La Tour d'Argent,France,Paris,french,48.84983,2.354915
329,Kusksi Original Couscous,France,Paris,,48.844946,2.348692
330,Desi Road,France,Paris,indian,48.855669,2.339989
331,Brasserie Lipp,France,Paris,,48.853753,2.33241
332,Bistro des Poèmes,France,Paris,french,48.84935,2.339153
333,Silencio des Prés,France,Paris,,48.854681,2.333203
334,Polidor,France,Paris,french,48.849818,2.340134
335,La Grivoiserie,France,Paris,,48.844179,2.32992
336,Le Trait D'Union,France,Paris,,48.846834,2.326516
337,Buddha-Bar Paris,France,Paris,fusion_asiatique,48.86808,2.321569
338,Qasim,France,Paris,indian,48.871044,2.30942
339,Diep,France,Paris,chinese,48.869527,2.303004
340,Le Café Zéphyr,France,Paris,french,48.871873,2.341849
341,Bouillon Julien,France,Paris,coffee_shop,48.870541,2.353221
342,Bouillon Chartier,France,Paris,french;brasserie,48.875912,2.358771
343,Clown-Bar,France,Paris,french,48.863623,2.367174
344,Biondi,France,Paris,argentinian,48.863821,2.367074
345,Rang,France,Paris,indian,48.868003,2.373207
346,Le Troisième Bureau,France,Paris,,48.865674,2.370798
347,Cannibale Café,France,Paris,regional;french,48.86841,2.379326
348,Avé Maria,France,Paris,,48.864484,2.373028
349,Le Café des Anges,France,Paris,coffee_shop;french,48.855436,2.374452
350,Le Cyrano,France,Paris,,48.856102,2.37519
351,Justine,France,Paris,french;pizza,48.865677,2.377887
352,Le Voltaire,France,Paris,brasserie,48.865169,2.367369
353,Sinorama,France,Paris,chinese,48.826363,2.36017
354,Phở Banh Cuon 14,France,Paris,vietnamese,48.826365,2.35953
355,Le Temps des Cerises,France,Paris,french,48.827877,2.350525
356,Atelier 58,France,Paris,,48.835,2.32703
357,Papa Yoyo,France,Paris,regional,48.833267,2.315623
358,Mian Mian,France,Paris,chinese,48.841329,2.299099
359,Perlamatta,France,Paris,italian,48.840784,2.288277
360,Casa Luisa,France,Paris,tapas,48.858099,2.27232
361,La Pétaudière,France,Paris,,48.886932,2.339959
362,GrandCœur,France,Paris,,48.859609,2.353492
363,Marcello,France,Paris,,48.852327,2.335006
364,Café Jacquemart-André,France,Paris,,48.875502,2.310394
365,Linette,France,Paris,french,48.86003,2.300634
366,Au Pied de Fouet,France,Paris,,48.851645,2.318595
367,Chez Germaine,France,Paris,,48.848253,2.319488
368,L'Ami Jean,France,Paris,french,48.860318,2.305992
369,Astrance,France,Paris,french,48.865091,2.289781
370,Yotaro sushi,France,Paris,japanese,48.85238,2.403685
371,Doppio,France,Paris,italian,48.879597,2.351936
372,Les Artisans,France,Paris,,48.842881,2.303139
373,Dandelion,France,Paris,,48.854459,2.400654
374,Le Petit Littré,France,Paris,,48.845038,2.32404
375,Gildas Delamer,France,Paris,fish,48.839599,2.266925
376,Suraj,France,Paris,indian,48.827448,2.314834
377,L'Ancienne Menuiserie,France,Paris,,48.867344,2.373961
378,Bocamexa,France,Paris,mexican,48.857046,2.355997
379,Le Moulin à Café,France,Paris,,48.833485,2.319881
380,Le Muguet,France,Paris,,48.852775,2.405931
381,La Popotière,France,Paris,french;regional,48.855197,2.401633
382,Sohna Punjab,France,Paris,indian,48.854034,2.405886
383,Le Cardinal,France,Paris,,48.837325,2.257453
384,Les Fontaines,France,Paris,,48.83785,2.257931
385,Le Nemrod,France,Paris,,48.848833,2.325351
386,La Grille Montorgueil,France,Paris,,48.864721,2.346913
387,Louisette,France,Paris,,48.869405,2.354934
388,Gaston & Marlo,France,Paris,french,48.869346,2.355266
389,L’Arrosoir,France,Paris,,48.846162,2.378132
390,Mama Nissa,France,Paris,algerian;mediterranean,48.865788,2.3453
391,Vadrouille,France,Paris,,48.877341,2.337383
392,Le Voltaire,France,Paris,french,48.859116,2.330224
393,Kokohana,France,Paris,japanese,48.869778,2.310592
394,La Table du Lancaster,France,Paris,,48.87226,2.303505
395,Spoon,France,Paris,,48.868668,2.306626
396,Le Lodge,France,Paris,,48.867168,2.365684
397,Black Angus République,France,Paris,,48.866753,2.36572
398,Mon Coco,France,Paris,,48.866667,2.365651
399,Kcoo King,France,Paris,korean,48.866656,2.366343
400,Plein Soleil,France,Paris,,48.865644,2.374474
401,La Forge,France,Paris,french,48.878243,2.373767
402,Le Mathurin,France,Paris,,48.878049,2.372137
403,Le Roi du Pot-au-Feu,France,Paris,french,48.872167,2.326644
404,Au Banquier,France,Paris,,48.836004,2.357493
405,Sweet KT,France,Paris,japanese,48.847738,2.348439
406,La P'tite Louise,France,Paris,,48.871908,2.357066
407,Chez Gladines,France,Paris,french,48.828814,2.35064
408,Jupi,France,Paris,,48.884436,2.324333
409,Giulia,France,Paris,mediterranean,48.888123,2.321246
410,L'Abadache,France,Paris,,48.888614,2.319812
411,Just BE,France,Paris,,48.887988,2.334107
412,Nawab,France,Paris,,48.894047,2.334199
413,Aux Perchés,France,Paris,,48.849293,2.334925
414,Matsuyama,France,Paris,japanese,48.841429,2.299045
415,Kokodak,France,Paris,chicken;korean,48.8517,2.333661
416,Le Refuge des Fondus,France,Paris,,48.884467,2.341091
417,Juicy Pop,France,Paris,,48.871781,2.393788
418,Café Jussieu,France,Paris,,48.845604,2.354797
419,La Petite Sœur,France,Paris,,48.83004,2.331099
420,Taj Mahal,France,Paris,indian,48.837451,2.352306
421,Van An,France,Paris,vietnamese,48.833417,2.355449
422,Au Chien qui Fume,France,Paris,french,48.84571,2.31922
423,Thaiger,France,Paris,thai,48.85235,2.344431
424,Tribeca,France,Paris,,48.856812,2.30623
425,Le Terminus Nation,France,Paris,,48.848497,2.399551
426,Le Dalou,France,Paris,,48.847838,2.397552
427,Le Bluff,France,Paris,,48.841679,2.341382
428,Guenmaï,France,Paris,,48.854028,2.335869
429,Krishna Bhavan,France,Paris,indian,48.882882,2.359654
430,Cellar,France,Paris,,48.864143,2.367677
431,Aux Bons Amis,France,Paris,french;mediterranean,48.874228,2.375543
432,Le Tournesol,France,Paris,,48.840498,2.324404
433,La Criée,France,Paris,seafood,48.888214,2.3785
434,Le Théâtre,France,Paris,french,48.849157,2.287238
435,Café Juliette,France,Paris,french,48.851493,2.398692
436,Le Bistrot des Plantes,France,Paris,,48.830084,2.323037
437,Café Charlot,France,Paris,french,48.863016,2.362578
438,L’Estaminet des Enfants Rouges,France,Paris,,48.862879,2.361721
439,Le Boucl'art,France,Paris,brasserie,48.852828,2.406249
440,Les Pipos,France,Paris,french,48.847459,2.348342
441,Hanawa,France,Paris,japanese,48.867226,2.307916
442,Brasserie Wepler,France,Paris,french,48.883861,2.327718
443,Le Basilic,France,Paris,french;italian,48.886162,2.334101
444,Le Bon Pêcheur,France,Paris,breakfast;coffee_shop;hot_dog;pizza,48.861989,2.348435
445,Au Père Tranquille,France,Paris,,48.862198,2.348549
446,Le Bistrot des Oies,France,Paris,french,48.871891,2.367459
447,Piccola Mia,France,Paris,italian,48.866406,2.365279
448,Indiana,France,Paris,,48.86636,2.36445
449,Bouillon de Paris,France,Paris,french,48.867504,2.362493
450,Arlecchino,France,Paris,pizza,48.865294,2.373474
451,La Mère Lachaise,France,Paris,,48.864331,2.38628
